"","x"
"Acrobates_pygmaeus",1.82353939827243
"Distoechurus_pennatus",2.02596657739451
"Hypsiprymnodon_moschatus",1.86480645084969
"Potorous_tridactylus",1.87524709532677
"Bettongia_garmardi",1.90736672045162
"Thylogale_stigmatica",2.18660183511721
"Thylogale_thetis",2.27510196311478
"Petrogale_brachyotis",2.06576125322119
"Petrogale_herberti",2.17609773898272
"Petrogale_godmani",2.15664207631971
"Petrogale_inornata",2.07195403553832
"Petrogale_penicillata",2.37570425775803
"Petrogale_lateralis",2.19378218757986
"Petrogale_purpureicollis",2.12645865234433
"Petrogale_puella_(assimilis)",1.93094383319857
"Petrogale_concinna",1.96229735479775
"Lagorchestes_conspicillatus",1.80585673127288
"Macropus_agilis",2.0690892147547
"Macropus_antilopinus",2.17957444404606
"Macropus_bernardus",2.18156162967602
"Macropus_dorsalis",1.97494956255414
"Macropus_irma",1.9724041937835
"Macropus_parma",2.14102343577185
"Macropus_parryi",2.18251212910097
"Macropus_rufogriseus",2.18846716623518
"Macropus_rufus",2.32327842591449
"Wallabia_bicolor",2.32023712531982
"Onychogalea_unguifera",1.99698680744601
"Dendrolagus_goodfellowi",2.35294946539345
"Dendrolagus_lumholtzi",2.16840942968831
"Dorcopis_luctuosa",2.07442050933005
"Cercartetus_concinnus",1.71044243014038
"Cercartetus_lepidus",1.6115848447736
"Cercartetus_nanus",1.65832536334452
"Gymnobelideus_leadbeateri",1.69782869225894
"Petaurus_australis",2.09259676480266
"Petaurus_norfolcensis",1.05569733728631
"Pseudochirops_archeri",1.97585231346999
"Pseudocheirus_canescens",1.8583978062942
"Pseudocheirus_cinereus",1.96144904645004
"Pseudochirops_cupreus",1.75760145334101
"Petropseudes_dahli",1.79645151844958
"Pseudocheirus_forbesi",1.71405681524021
"Pseudocheirus_herbertensis",1.5129525534188
"Hemibelideus_lemuroides",1.6757855235319
"Pseudocheirus_peregrinus",1.83387496591892
"Trichosurus_arnhemensis",2.12995789562271
"Trichosusus_caninus",2.08266120981437
"Phalanger_gymnotis",2.02819709734597
"Phalanger_maculatus",2.13222704439816
"Phalanger_vestitus",2.06384228275454
"Tarsipes_rostratus_(spencerae)",2.04347447212541
"Phascolarctos_cinereus",2.11934075336857
"Vombatus_ursinus",2.85310275176314
"Lasiorhinus_latifrons",2.33825381150389
