"","x"
"Petaurus",2.1509700139043
"Schoinobates",2.25378360383034
"Pseudocheirus",2.26230063512012
"Trichosurus",2.53643225608168
"Potorous",2.32728216761194
"Macropus_eugenii",2.54533061444413
"Setonix",2.47716081393704
"Thylogale",2.8004580580216
"Macropus_rufogriseus",2.96465605172095
"Macropus_giganteus",3.08082743771923
"Vombatus",2.94087957100697
"Marmosa_murina",1.67118578362956
"Marmosa_domina",1.62244450499382
"Marmosa_thylamys",1.60260413060144
"Metachirops",1.83032135990129
"Philander",1.71054151250649
"Didelphis_aurita",1.64661053869549
"Didelphis_marsupialis",1.91947431299589
"Didelphis_virginiana",1.68297861011234
"Caluromys",1.72389327865961
"Perameles",1.37564517777339
"Isoodon",1.36674707864624
"Antechinus",1.23971549834425
"Sminthopsis",1.43231291372954
"Dasyurus",1.93301068283098
"Sarcophilus",1.93259156066948
