,Species,SpecimenNo,Sex,Clade_major,Cladename,Locomotion,Fossil,Bodymass_g,Brain_mm3,OB,Cerebrum,Cerebellum,Medulla,reconstructed_xy_(mm),reconstructed_z_(mm),orig_scan_xy_(mm),orig_scan_z_(mm),Processing_Notes,Iso_and_periallo_Cx_GM_vol_Jyothilakshmi,Neocortex_Pirlot,Congeneric_used,Body_mass_reference
Apyg_J13748,Acrobates_pygmaeus,J13748,M,Diprotodontia,Petauroid,Gliding,no,12,519,21,358,102,38,0.01835,0.03637,0.0184,0.0184,Reconstruction used half the z resolution ,1.823539398,NA,NA,Weisbecker et al. 2013
Apyg_AMNH155057F,Acrobates_pygmaeus,AMNH15505,F,Diprotodontia,Petauroid,Gliding,no,12,407,18,272,89,28,0.02734,0.032,0.02734375,0.032,NA,1.823539398,NA,NA,Weisbecker et al. 2013
Aflav_JM1937,Antechinus_flavipes,JM1937,F,Dasyuromorpha,Dasyuromorph,Scansorial,no,45,731,56,508,120,47,0.02174,0.0435,0.0217467,0.0217,Reconstruction used half the z resolution ,NA,1.003089213,NA,Weisbecker et al. 2013
Bnalim_QMF36295,Balbaroo_nalima,QMF31408,NA,Diprotodontia,Macropodoid,NA,yes,9400,29257,1926,20073,4036,3222,0.053,0.212,0.053307,0.0533,Reconstruction used quarter the z resolution ,NA,NA,NA,Travouillon et al. 2009
Bwang_QMF36295,Barinya_wangala,QMF36295,NA,Dasyuromorpha,Dasyuromorph,NA,yes,445,2941,293,1846,553,249,0.050883,0.0509,Provided by Robin Bec,NA,NA,NA,NA,NA,Travouillon et al. 2009
Btrop_Jm10030,Bettongia_tropica,JM10030,M,Diprotodontia,Macropodoid,Hopping,no,1200,10124,620,7270,1365,869,0.053297,0.0533,0.053297,0.0533,NA,1.90736672,NA,B_gaimardi(J),Weisbecker et al. 2013
Btub_YPM15120,Borhyaena_tuberata,YPMPU15120,NA,Stem,Stem,NA,yes,23000,34324,2550,20806,5561,5407,0.15,0.16,Provided by Sandrine Ladeveze,NA,NA,NA,NA,NA,Argot 2003
Cfulig_KU124015,Caenolestes_fuliginosus,KU124015,NA,Paucituberculata,Paucituberc.,Terrestrial,no,35,684,52,470,105,57,0.0139,0.06,See_notes,0.03,1-645 slice =14.3/1024 = 0.013965 \\ 666-946 slice=14.158/1024=0.013826172 \\ Max field view=14.37667/1024=0.014039717 ,NA,NA,NA,Weisbecker et al. 2013
Cphil_AMNH95526,Caluromys_philander,AMNH95526,NA,Didelphimorpha,Didelphimorph,Arboreal,no,188.5,3215,236,2232,478,269,0.0371,0.159,0.0371,0.0799,Reconstruction used half the z resolution ,NA,1.35262734,NA,Weisbecker et al. 2013
Ccau_AMNH155090,Cercartetus_caudatus,AMNH155090,M,Diprotodontia,Phalangeroid,Arboreal,no,30,790,41,538,140,71,0.0175,0.0792,0.017578125,0.03961,Reconstruction used half the z resolution,1.658325363,NA,C_nanus(J),Weisbecker et al. 2013
Dtriv_JM52,Dactylopsila_trivirgata,JM52,F,Diprotodontia,Petauroid,Arboreal,no,423,6689,279,5298,801,311,0.036,0.072,0.036078,0.0361,Reconstruction used half the z resolution ,NA,NA,NA,Weisbecker et al. 2013
Dtriv_J6202,Dactylopsila_trivirgata,J6202,F,Diprotodontia,Petauroid,Arboreal,no,423,5058,260,3775,666,357,0.053,0.053,0.053297,0.0533,NA,NA,NA,NA,Weisbecker et al. 2013
Dhalluc_TMMM6921,Dasyurus_hallucatus,TMMM6921,NA,Dasyuromorpha,Dasyuromorph,Scansorial,no,525,3330,281,2363,345,341,0.03491,0.1568,0.0349121,0.0784,Reconstruction used half the z resolution ,NA,1.52845995,NA,Weisbecker et al. 2013
Dlum_AMNH65254,Dendrolagus_lumholtzi,AMNH65254,F,Diprotodontia,Macropodoid,Hopping,no,7195,25313,638,19493,2959,2223,0.0688,0.3204,0.0688477,0.1602,Reconstruction used quarter the z resolution ,2.16840943,NA,NA,Weisbecker et al. 2013
Dvirg_TMMM2517,Didelphis_virginiana,TMM_M-2517,M,Didelphimorpha,Didelphimorph,Terrestrial,no,1900,6846,822,4533,669,822,0.0595,0.264,0.0595703,0.132,Reconstruction used half the z resolution,NA,1.262060415,NA,Weisbecker et al. 2013
Dpenn_JM9611,Distoechurus_pennatus,JM9611,NA,Diprotodontia,Phalangeroid,Arboreal,no,50,1396,60,1015,206,115,0.02567,0.0513,0.0256825,0.0257,Reconstruction used quarter the z resolution ,2.025966577,NA,NA,Weisbecker et al. 2013
Dglir_FMNH127463,Dromiciops_gliroides,FMNH127463,NA,Dromiciops,Dromiciops,Terrestrial,no,24,831,33,596,143,59,0.01611,0.079,0.0161133,0.0395,Reconstruction used quarter the z resolution ,NA,NA,NA,Weisbecker et al. 2013
Ekalub_AMNH155057,Echymipera_kalubu,AMNH_155057,M,Peramelemorpha,Peramelemorph,Terrestrial,no,950,4602,573,2986,574,469,0.0341,0.1488,0.0341797,0.0744,Reconstruction used half the z resolution ,NA,NA,NA,Weisbecker et al. 2013
Eruf_J23068,Echymipera_rufescens,J23068,M,Peramelemorpha,Peramelemorph,Terrestrial,no,1700,6836,784,4250,1120,682,0.03396,0.0679,0.033957,0.034,Reconstruction used half the z resolution,NA,NA,NA,Weisbecker et al. 2013
Eima_QMF12436,Ekaltadeta_ima,QMF12436,NA,Diprotodontia,Macropodoid,NA,yes,11100,34845,2903,24991,4526,2425,0.468,0.5,Provided by Michael Archer,NA,NA,NA,NA,NA,Travouillon et al. 2009
